Бренд,Модель,Год,Объём двигателя,Тип топлива,Трансмиссия,Пробег,Количество дверей,Количество владельцев,Стоимость
Mercedes,E-Class,2000,2.5,Diesel,Manual,18150,3,5,6237
Volkswagen,Passat,2000,1.8,Petrol,Automatic,222084,2,3,2958
Toyota,Corolla,2016,3.7,Petrol,Manual,59160,5,2,11416
Chevrolet,Equinox,2016,2.3,Petrol,Semi-Automatic,73775,3,4,9724
Mercedes,E-Class,2007,2.4,Electric,Automatic,89733,3,1,10305
Hyundai,Tucson,2002,2.6,Petrol,Semi-Automatic,11401,5,4,7071
Chevrolet,Impala,2019,4.4,Diesel,Semi-Automatic,233465,2,1,9530
Volkswagen,Golf,2016,4.3,Petrol,Semi-Automatic,240885,3,2,8382
Mercedes,GLA,2006,3.5,Electric,Semi-Automatic,25049,4,5,10899
Chevrolet,Equinox,2003,2.0,Hybrid,Semi-Automatic,110430,3,1,5791
Hyundai,Elantra,2018,3.7,Electric,Semi-Automatic,205909,3,2,11081
Ford,Explorer,2011,1.4,Hybrid,Semi-Automatic,161912,4,4,6561
Mercedes,C-Class,2002,3.6,Hybrid,Automatic,54815,3,5,9703
Hyundai,Elantra,2019,3.3,Electric,Manual,128619,3,5,12527
Honda,Civic,2019,4.0,Hybrid,Manual,121403,5,2,12371
Toyota,Corolla,2019,4.2,Electric,Semi-Automatic,253093,5,4,10938
Chevrolet,Malibu,2022,4.8,Petrol,Semi-Automatic,97890,2,2,13542
Toyota,Camry,2016,1.2,Diesel,Manual,157466,4,1,6950
Kia,Rio,2004,3.6,Petrol,Semi-Automatic,168226,4,4,5535
Audi,A3,2009,1.2,Petrol,Automatic,275586,3,5,3988
Ford,Focus,2015,1.9,Electric,Manual,50573,4,5,11488
Volkswagen,Tiguan,2006,2.6,Electric,Manual,219205,5,5,6115
Hyundai,Elantra,2008,2.7,Electric,Automatic,1708,5,2,12665
Kia,Rio,2012,3.6,Petrol,Automatic,244437,2,2,7911
Kia,Sportage,2016,2.1,Electric,Manual,134097,4,5,10318
Ford,Fiesta,2010,1.1,Hybrid,Manual,98700,5,3,7226
Mercedes,E-Class,2018,1.6,Hybrid,Manual,78445,4,4,10531
Chevrolet,Equinox,2001,3.6,Hybrid,Semi-Automatic,93140,2,1,7137
Hyundai,Elantra,2006,3.0,Diesel,Automatic,288209,3,2,4635
Hyundai,Sonata,2009,4.4,Hybrid,Semi-Automatic,282931,5,3,6541
Volkswagen,Passat,2023,3.0,Hybrid,Automatic,242006,5,1,11659
Kia,Optima,2006,4.6,Hybrid,Manual,272450,4,3,6051
Kia,Sportage,2002,4.4,Petrol,Automatic,54982,5,5,9500
Chevrolet,Malibu,2003,1.2,Diesel,Semi-Automatic,53980,4,3,5120
Ford,Explorer,2019,1.6,Hybrid,Semi-Automatic,84291,4,4,10714
Hyundai,Sonata,2002,3.1,Hybrid,Semi-Automatic,264010,5,1,3519
Audi,A3,2020,1.7,Hybrid,Semi-Automatic,54068,4,1,11718
Hyundai,Tucson,2002,4.4,Petrol,Manual,253283,4,1,4034
BMW,5 Series,2010,1.1,Petrol,Automatic,1666,4,3,9666
Honda,Accord,2000,2.8,Electric,Automatic,128713,4,2,7825
Toyota,Camry,2004,2.9,Diesel,Automatic,155101,3,5,6597
Volkswagen,Passat,2002,3.1,Diesel,Automatic,153222,5,2,6235
BMW,3 Series,2004,3.0,Electric,Semi-Automatic,140269,4,1,7494
Toyota,Corolla,2022,4.6,Diesel,Automatic,48034,3,1,15839
Honda,Accord,2007,1.7,Electric,Automatic,197700,2,4,7446
Ford,Focus,2020,1.3,Hybrid,Manual,130961,2,4,9780
Volkswagen,Tiguan,2009,1.5,Electric,Semi-Automatic,204370,4,4,6212
Ford,Explorer,2005,1.9,Diesel,Semi-Automatic,103956,5,2,5420
Chevrolet,Equinox,2004,3.0,Electric,Manual,86109,3,5,8577
Kia,Sportage,2011,1.7,Hybrid,Manual,264104,4,2,4817
Honda,Accord,2019,2.1,Petrol,Automatic,1068,2,1,13378
Hyundai,Elantra,2004,3.1,Electric,Automatic,202084,2,1,7858
BMW,3 Series,2012,4.5,Petrol,Semi-Automatic,78159,3,1,10636
Kia,Optima,2012,2.7,Electric,Automatic,188249,3,4,10135
Audi,A4,2021,3.6,Diesel,Semi-Automatic,252284,5,4,8954
Mercedes,C-Class,2011,4.8,Diesel,Manual,120010,4,5,9799
Mercedes,GLA,2007,4.8,Petrol,Semi-Automatic,77167,4,4,9456
Audi,Q5,2021,3.0,Diesel,Semi-Automatic,226346,5,4,8873
Toyota,Camry,2014,4.1,Diesel,Automatic,35164,3,3,13196
Ford,Explorer,2015,4.3,Electric,Manual,147409,3,1,11951
Ford,Fiesta,2016,3.6,Diesel,Manual,292131,4,4,6657
Kia,Rio,2016,1.6,Electric,Automatic,285860,4,5,8282
Audi,A3,2005,2.3,Electric,Manual,112828,3,2,7643
Audi,Q5,2023,3.5,Hybrid,Semi-Automatic,225090,2,2,10998
Volkswagen,Golf,2003,2.5,Electric,Manual,235804,3,1,4783
Kia,Rio,2007,4.7,Electric,Manual,18622,4,3,12527
Honda,Civic,2001,1.8,Electric,Semi-Automatic,38814,4,5,7423
Volkswagen,Golf,2001,2.3,Diesel,Manual,64027,3,2,5419
Kia,Rio,2013,2.7,Hybrid,Manual,155927,5,4,8581
Honda,CR-V,2000,3.5,Hybrid,Semi-Automatic,181019,2,2,4979
Ford,Focus,2014,3.8,Diesel,Semi-Automatic,91618,4,4,10267
Chevrolet,Equinox,2004,2.6,Hybrid,Semi-Automatic,234638,5,3,4207
Ford,Focus,2006,4.4,Hybrid,Automatic,213796,4,4,8524
Hyundai,Elantra,2008,4.5,Electric,Semi-Automatic,242378,4,3,8152
Kia,Optima,2015,3.4,Electric,Manual,68256,4,2,12634
Honda,CR-V,2012,4.9,Electric,Manual,4608,3,2,14507
Ford,Fiesta,2014,4.7,Electric,Automatic,262198,4,2,11256
Hyundai,Elantra,2014,3.7,Petrol,Semi-Automatic,203553,3,5,7928
Audi,A4,2007,1.4,Petrol,Manual,252417,3,3,2551
Ford,Focus,2010,3.9,Hybrid,Automatic,42902,3,5,12641
Audi,A4,2020,4.8,Electric,Manual,116761,2,3,14564
Mercedes,C-Class,2015,2.7,Diesel,Manual,181326,5,5,7673
Ford,Explorer,2008,4.1,Electric,Manual,286699,3,5,6866
Toyota,RAV4,2013,3.8,Hybrid,Automatic,149662,2,1,11306
Volkswagen,Tiguan,2019,4.7,Petrol,Semi-Automatic,213300,4,1,10234
Toyota,RAV4,2015,2.0,Diesel,Manual,125458,2,3,8090
Hyundai,Sonata,2011,2.5,Petrol,Manual,61333,2,1,8673
BMW,X5,2009,3.8,Electric,Automatic,103338,3,3,12033
Hyundai,Elantra,2019,1.9,Electric,Automatic,44978,4,4,14300
Honda,Accord,2002,2.5,Electric,Automatic,119657,2,2,8306
Ford,Explorer,2003,2.2,Electric,Manual,106537,4,4,7069
Honda,Accord,2005,2.8,Electric,Manual,228351,2,2,5832
Volkswagen,Golf,2000,1.0,Hybrid,Semi-Automatic,156258,4,1,2974
Mercedes,C-Class,2022,3.6,Diesel,Manual,233628,5,2,9627
Honda,Accord,2000,2.9,Hybrid,Semi-Automatic,238272,5,1,3234
Chevrolet,Malibu,2023,2.0,Diesel,Manual,280794,2,3,7384
Kia,Rio,2005,2.6,Diesel,Semi-Automatic,14058,5,4,7918
Audi,A3,2018,3.3,Hybrid,Semi-Automatic,274434,3,2,8311
Chevrolet,Equinox,2015,3.2,Diesel,Automatic,60419,4,4,12091
BMW,X5,2021,5.0,Petrol,Semi-Automatic,98604,2,4,13427
Volkswagen,Golf,2023,1.6,Petrol,Automatic,133425,5,5,11431
Hyundai,Tucson,2004,4.2,Hybrid,Manual,271816,3,5,5063
Mercedes,GLA,2019,2.9,Petrol,Semi-Automatic,247451,3,3,7750
Ford,Fiesta,2014,4.7,Petrol,Semi-Automatic,85892,5,2,11282
Ford,Explorer,2006,3.1,Electric,Semi-Automatic,252610,2,3,5947
Audi,A4,2020,1.3,Hybrid,Manual,282883,4,1,6742
BMW,5 Series,2020,2.7,Hybrid,Semi-Automatic,109271,3,4,11614
Mercedes,GLA,2018,2.0,Hybrid,Automatic,119566,5,5,11608
Ford,Focus,2009,3.0,Diesel,Manual,54105,3,2,8717
Honda,CR-V,2020,2.4,Hybrid,Manual,103185,2,3,11436
Chevrolet,Impala,2010,1.8,Hybrid,Manual,227999,5,1,5340
BMW,X5,2000,1.1,Hybrid,Automatic,141537,3,2,4869
Hyundai,Elantra,2022,2.8,Diesel,Automatic,250524,5,5,9989
BMW,5 Series,2012,1.7,Petrol,Automatic,163543,5,4,7629
Audi,A4,2021,2.7,Petrol,Manual,283597,2,2,7428
Kia,Rio,2021,3.6,Petrol,Automatic,79401,4,3,13911
Ford,Fiesta,2007,3.4,Electric,Manual,125769,3,1,9084
Hyundai,Sonata,2009,4.1,Diesel,Manual,67077,2,5,9558
Hyundai,Sonata,2007,2.3,Electric,Manual,76257,2,3,8974
Ford,Focus,2010,1.2,Electric,Automatic,220484,4,4,7390
Toyota,Camry,2010,4.7,Petrol,Semi-Automatic,155338,5,1,8693
Volkswagen,Tiguan,2006,3.1,Electric,Automatic,135166,5,1,9796
Ford,Fiesta,2009,2.4,Petrol,Automatic,22624,4,4,10247
Audi,A3,2002,3.2,Hybrid,Automatic,106780,2,5,8264
Mercedes,C-Class,2017,2.3,Electric,Semi-Automatic,40455,4,1,12690
Ford,Explorer,2007,1.1,Diesel,Semi-Automatic,261935,4,2,2061
Honda,CR-V,2015,2.2,Electric,Manual,164031,4,5,9519
